68	209	5.31
68	254	3.7619
68	1020	1.319
68	1336	9.6449
68	1626	9.3187
68	1809	6.8516
68	2293	2.9956
68	2495	21.7203
68	3699	5.0175
68	4463	1.5845
68	5623	11.0762
68	5821	13.8088
68	5853	1.4421
68	5862	1.7925
68	6178	8.9572
68	6503	4.4452
68	6576	8.506
68	6725	3.7524
68	7267	6.8314
68	8137	14.6929
68	8686	5.5207
68	8923	4.3595
68	9008	1.9
68	11584	4.4611
68	12926	1.4754
68	13007	23.0846
68	13131	5.5
68	13135	2.9985
68	13199	10.4754
68	13379	6.2095
68	13837	2.6167
68	14205	112.6172
68	14456	5.308
68	14545	5.1004
68	15265	1.5012
68	15308	8.3758
68	16098	10.0199
68	16258	1.1111
68	18336	16.1981
68	18511	58.6906
68	21114	3.6496
68	23251	4.4694
68	24123	20.2298
68	24138	5.1385
68	24311	4.05
68	24387	8.104
68	25319	4.2338
68	26622	1.6083
68	29913	2.1639
209	254	0.654
209	1020	0.7492
209	1336	2.1576
209	1626	3.3429
209	1809	8.179
209	2293	3.1778
209	2495	24.5965
209	3699	8.4151
209	4463	1.6278
209	5623	23.6048
209	5821	4.4048
209	5853	0.7679
209	5862	2.3088
209	6178	10.2227
209	6503	3.6278
209	6576	2.6159
209	6725	2.2083
209	7267	10.4565
209	8137	1.8326
209	8686	4.0806
209	8923	0.75
209	9008	2.3452
209	11584	6.5473
209	12926	3.0123
209	13007	16.6152
209	13131	4.2397
209	13135	1.4877
209	13199	3.4211
209	13379	8.3366
209	13837	2.319
209	14205	78.7216
209	14456	2.704
209	14545	1.4865
209	15265	0.8818
209	15308	1.2826
209	16098	2.4568
209	16258	1.2429
209	18336	6.4842
209	18511	25.9124
209	21114	4.1815
209	23251	0.8858
209	24123	18.2719
209	24138	9.3718
209	24311	2.6262
209	24387	3.6171
209	25319	1.4913
209	26622	1.3048
209	29913	1.6623
254	1020	3.1294
254	1336	2.706
254	1626	2.2274
254	1809	6.569
254	2293	3.0246
254	2495	7.454
254	3699	1.4817
254	4463	1.2317
254	5623	3.0595
254	5821	12.8941
254	5853	1.4778
254	5862	4.4623
254	6178	3.4214
254	6503	6.5833
254	6576	3.0206
254	6725	0.6845
254	7267	3.5354
254	8137	2.3
254	8686	9.8366
254	8923	2.4
254	9008	2.2333
254	11584	1.2234
254	12926	6.2563
254	13007	12.0203
254	13131	7.1663
254	13135	2.3333
254	13199	11.5953
254	13379	6.1746
254	13837	2.1302
254	14205	87.558
254	14456	1.225
254	14545	3.1885
254	15265	1.5512
254	15308	4.2838
254	16098	4.6715
254	16258	0.7595
254	18336	3.6163
254	18511	24.8846
254	21114	1.9286
254	23251	5.2857
254	24123	14.4802
254	24138	1.325
254	24311	3.2742
254	24387	12.7702
254	25319	2.1044
254	26622	3.2742
254	29913	3.7706
1020	1336	2.2234
1020	1626	1.8679
1020	1809	2.2572
1020	2293	2.6929
1020	2495	4.156
1020	3699	2.0786
1020	4463	7.3187
1020	5623	3.3929
1020	5821	14.5081
1020	5853	8.7116
1020	5862	5.158
1020	6178	2.0727
1020	6503	1.6595
1020	6576	14.114
1020	6725	2.7742
1020	7267	2.2512
1020	8137	3.3187
1020	8686	6.4056
1020	8923	1.4
1020	9008	0.5
1020	11584	1.4262
1020	12926	12.5409
1020	13007	16.5652
1020	13131	2.9242
1020	13135	1.2262
1020	13199	3.3163
1020	13379	1.0345
1020	13837	1.2199
1020	14205	54.3498
1020	14456	1.4179
1020	14545	20.7243
1020	15265	6.8632
1020	15308	17.2168
1020	16098	17.9978
1020	16258	4.4512
1020	18336	3.0913
1020	18511	34.7974
1020	21114	0.1111
1020	23251	1.4115
1020	24123	8.6692
1020	24138	1.3286
1020	24311	1.2833
1020	24387	0.8782
1020	25319	0.9941
1020	26622	0.9417
1020	29913	4.1607
1336	1626	6.5381
1336	1809	9.6767
1336	2293	15.1409
1336	2495	21.5516
1336	3699	8.7833
1336	4463	3.1563
1336	5623	15.2227
1336	5821	17.2183
1336	5853	2.4095
1336	5862	4.2309
1336	6178	6.0925
1336	6503	11.6631
1336	6576	3.7952
1336	6725	2.019
1336	7267	7.1866
1336	8137	8.3401
1336	8686	9.9619
1336	8923	5.4286
1336	9008	2.4786
1336	11584	8.5806
1336	12926	2.0429
1336	13007	26.0884
1336	13131	5.321
1336	13135	9.702
1336	13199	15.5385
1336	13379	10.0718
1336	13837	2.4048
1336	14205	100.9223
1336	14456	0.8338
1336	14545	3.7631
1336	15265	2.8345
1336	15308	11.6048
1336	16098	8.7413
1336	16258	0.9555
1336	18336	5.0611
1336	18511	40.1465
1336	21114	3.9603
1336	23251	2.6667
1336	24123	15.4913
1336	24138	3.9532
1336	24311	9.9167
1336	24387	3.2298
1336	25319	3.9778
1336	26622	7.102
1336	29913	1.4635
1626	1809	12.1115
1626	2293	4.56
1626	2495	49.1655
1626	3699	9.8206
1626	4463	3.5968
1626	5623	65.8893
1626	5821	12.702
1626	5853	2.4718
1626	5862	2.6933
1626	6178	17.4084
1626	6503	5.0607
1626	6576	6.6516
1626	6725	6.9346
1626	7267	14.0409
1626	8137	7.2163
1626	8686	8.8726
1626	8923	5.1619
1626	9008	8.8075
1626	11584	13.9004
1626	12926	3.5524
1626	13007	62.3313
1626	13131	4.7179
1626	13135	3.7714
1626	13199	9.7449
1626	13379	6.6631
1626	13837	4.5127
1626	14205	213.8532
1626	14456	14.4083
1626	14545	2.748
1626	15265	2.3873
1626	15308	4.1921
1626	16098	9.1254
1626	16258	2.8722
1626	18336	11.2127
1626	18511	105.5282
1626	21114	8.9845
1626	23251	2.7845
1626	24123	54.0782
1626	24138	10.1571
1626	24311	1.4929
1626	24387	14.5187
1626	25319	3.4813
1626	26622	5.6492
1626	29913	13.8714
1809	2293	5.4525
1809	2495	19.9842
1809	3699	5.2977
1809	4463	6.6203
1809	5623	9.9215
1809	5821	17.6743
1809	5853	3.9937
1809	5862	5.9746
1809	6178	8.2802
1809	6503	4.8774
1809	6576	8.2611
1809	6725	3.512
1809	7267	7.9413
1809	8137	3.1957
1809	8686	11.9727
1809	8923	9.5945
1809	9008	6.3048
1809	11584	4.9877
1809	12926	3.4361
1809	13007	21.433
1809	13131	4.1591
1809	13135	4.6115
1809	13199	11.7191
1809	13379	8.1694
1809	13837	72.2977
1809	14205	181.597
1809	14456	6.1239
1809	14545	9.2854
